Fecha,flota,Modelo,Marca,Componente,Aceite Lubricante,cambioLubricanate,Contenido de agua %,Punto de inflamacion °C,Glicol %,Nitracion A/cm,Oxidación A/cm,Hollín %,Sulfatacion A/cm,Diesel %,N de part >4µm,N° de part >6µm,N° de part>14µm,Código ISO 4406,Viscosidad 100°C cSt(mm2/s),Viscosidad 40°C cSt(mm2/s),TAN mg KOH/g,TBN mg KOH/g,Plata (Ag) ppm,Aluminio (Al) ppm,Bario (Ba) ppm,Boro (B) ppm,Calcio (Ca) ppm,Cromo (Cr) ppm,Cobre (Cu) ppm,Hierro (Fe) ppm,Potasio (K) ppm,Magnesio (Mg) ppm,Molibdeno (Mo) ppm,Sodio (Na) ppm,Níquel (Ni) ppm,Plomo (Pb) ppm,Fósforo (P) ppm,Silicio (Si) ppm,Estaño (Sn) ppm,Titanio (Ti) ppm,Vanadio (V) ppm,Zinc (Zn) ppm,Residuo Ferroso Total mg/kg,Numero Muestra,Numero Registro,Numero Serie Equipo,Criticidad,Disponibilidad,Tiempo Parada,TRR,TMP,TBF,Confiabilidad,Alerta Emitida,Alerta Evitó Falla
2025-04-01 01:10:00,906,CATERPILLAR 798AC-A,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.49,205,0.0,0,0,0.28,2,0.54,1696,4173,406,19/19/16,11.5,91.48,2.71,8,0,14,4,3,908,0,40,136,9,8,4,17,2,7,6,20,2,3,0,70,136,B00015,15,LAJ121,Atencion,70.83,7,5,0.3666666666666666,17,70.6,1,0
2025-04-01 01:15:00,908,CATERPILLAR 798AC-A,CATERPILLAR,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.01,209,0.38,1,0,1.81,1,0.02,6289,1131,510,19/17/13,18.33,117.96,1.78,0,4,22,0,7,755,1,14,95,8,3,2,24,1,4,3,6,4,8,4,56,531,B00016,16,LAJ177,Normal,79.17,5,4,1.9,19,78.9,0,0
2025-04-01 01:20:00,566,KOMATSU 930 E5,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.6,208,0.2,0,0,0.06,4,0.23,4804,4507,284,18/18/13,18.61,86.69,0.4,1,1,19,0,7,531,7,45,55,4,9,4,24,4,6,8,13,7,2,3,40,174,E00017,17,LAJ273,Normal,79.17,5,5,1.5,19,73.7,0,0
2025-04-01 01:25:00,548,KOMATSU 930 E4,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.95,237,0.36,2,2,1.75,1,0.89,5214,2397,533,19/18/15,13.9,101.3,1.57,9,0,28,4,0,647,6,49,26,8,3,1,26,0,0,6,11,6,0,8,55,401,B00018,18,LAJ886,Normal,91.67,2,2,2.8666666666666667,22,90.9,0,0
2025-04-01 01:30:00,938,CATERPILLAR 798AC-P,CATERPILLAR,SISTEMA HIDRAULICO,MOBIL DTE 24,Cambio Aceite,0.11,205,0.16,4,4,1.73,2,0.81,7951,2656,502,20/19/13,18.25,117.63,1.39,9,1,27,8,3,830,7,40,125,5,9,8,4,6,4,0,15,4,3,1,67,572,B00019,19,LAJ747,Atencion,58.330000000000005,10,5,2.1,14,64.3,1,0
2025-04-01 01:35:00,532,KOMATSU 930 E3,KOMATSU,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.04,210,0.09,1,0,1.42,0,0.98,5147,724,255,19/17/13,11.61,119.56,2.52,0,1,22,2,4,466,3,28,45,8,8,6,19,9,1,9,9,6,1,5,34,492,D00020,20,LAJ703,Normal,95.83,1,5,2.6,23,78.3,0,0
2025-04-01 01:40:00,530,KOMATSU 930 E4,KOMATSU,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.88,181,0.15,0,0,1.15,2,0.63,6486,2248,471,18/19/15,17.68,98.05,1.29,5,0,2,6,7,373,3,22,35,4,3,4,20,2,7,2,7,8,0,2,38,119,B00021,21,LAJ361,Normal,91.67,2,5,2.466666666666667,22,77.3,0,0
2025-04-01 01:45:00,918,CATERPILLAR 797F,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Muestreo,0.13,222,0.41,3,4,0.03,3,0.78,4868,3942,696,19/18/14,18.94,98.45,2.43,7,4,17,1,1,367,5,28,52,6,2,2,11,2,4,9,1,3,1,3,25,142,A00022,22,LAJ804,Normal,87.5,3,2,1.5333333333333334,21,90.5,0,0
2025-04-01 01:50:00,567,KOMATSU 930 E4SE,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.11,202,0.26,1,4,0.33,0,0.2,3812,1723,785,21/18/16,11.75,105.4,1.18,2,4,12,7,2,863,9,2,16,9,1,8,9,3,3,1,12,7,8,1,8,242,E00023,23,LAJ560,Normal,83.33,4,5,0.5333333333333333,20,75.0,0,0
2025-04-01 01:55:00,910,CATERPILLAR 797F,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.48,243,0.45,1,3,1.22,1,0.5,1392,4452,253,18/18/14,14.56,108.4,1.54,1,2,8,0,7,349,2,4,171,2,7,6,9,2,4,8,20,2,2,2,85,457,C00024,24,LAJ592,Atencion,66.67,8,0,2.6,16,100.0,1,0
2025-04-01 02:00:00,526,KOMATSU 930 E4,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.9,232,0.48,1,3,0.19,3,0.16,3068,2862,423,21/16/16,12.81,86.65,0.85,6,0,7,8,6,597,6,32,275,3,8,0,20,8,8,8,38,2,0,8,50,219,A00025,25,LAJ592,Critico,0.0,24,6,1.0666666666666669,0,0.0,1,0
2025-04-01 02:05:00,915,CATERPILLAR 798AC-A,CATERPILLAR,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.16,208,0.16,3,4,0.81,1,0.73,1408,2145,167,21/17/14,12.93,116.64,1.6,3,4,11,1,9,563,3,34,78,7,5,3,22,6,0,5,7,1,4,4,71,59,B00026,26,LAJ332,Normal,75.0,6,3,0.3666666666666666,18,83.3,0,0
2025-04-01 02:10:00,515,KOMATSU 930 E4SE,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.23,186,0.1,3,3,0.07,1,0.8,6923,1706,756,21/18/15,11.15,93.94,0.17,5,4,15,2,0,838,5,7,22,0,1,9,27,0,4,8,1,2,0,7,23,27,D00027,27,LAJ619,Normal,75.0,6,6,1.3666666666666667,18,66.7,0,0
2025-04-01 02:15:00,539,KOMATSU 930 E4SE,KOMATSU,MASA DERECHA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.02,231,0.32,4,3,1.7,4,0.87,5986,2939,625,18/17/13,10.52,119.89,1.73,2,0,19,3,5,714,8,30,91,7,0,4,29,3,1,9,15,8,3,9,38,63,A00028,28,LAJ505,Normal,95.83,1,5,2.6666666666666665,23,78.3,0,0
2025-04-01 02:20:00,501,KOMATSU 930 E3,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.87,235,0.26,2,4,1.97,0,0.42,7197,4122,652,18/19/14,14.25,97.41,2.12,1,2,25,2,4,16,8,18,93,0,1,5,14,5,8,4,7,7,1,7,37,184,D00029,29,LAJ332,Normal,91.67,2,0,2.8,22,100.0,0,0
2025-04-01 02:25:00,551,KOMATSU 930 E4,KOMATSU,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.85,199,0.38,3,0,1.49,1,0.01,2664,1418,912,20/18/15,12.9,86.58,0.87,8,3,27,0,3,354,7,12,83,5,8,1,8,2,7,9,2,0,0,5,66,416,A00030,30,LAJ893,Normal,95.83,1,4,2.2666666666666666,23,82.6,0,0
2025-04-01 02:30:00,923,CATERPILLAR 797F,CATERPILLAR,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Muestreo,0.58,212,0.29,2,4,1.93,3,0.24,9076,1557,216,21/18/15,10.33,96.48,1.44,4,2,9,2,5,764,3,35,100,0,6,6,26,4,9,3,15,1,1,6,47,220,C00031,31,LAJ239,Normal,79.17,5,1,0.4,19,94.7,0,0
2025-04-01 02:35:00,934,CATERPILLAR 797F,CATERPILLAR,SISTEMA HIDRAULICO,MOBIL DTE 24,Muestreo,0.1,228,0.19,4,0,1.89,1,0.33,3790,2956,674,19/16/15,15.27,102.95,1.76,6,4,2,2,6,196,8,13,83,7,6,8,1,5,2,8,6,3,9,5,26,354,D00032,32,LAJ598,Normal,87.5,3,6,2.3666666666666667,21,71.4,0,0
2025-04-01 02:40:00,546,KOMATSU 930 E3,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.86,217,0.13,0,2,1.38,2,0.5,6804,731,562,18/19/16,12.43,97.75,0.58,6,1,4,3,1,687,6,46,75,4,8,2,27,2,0,7,11,9,5,9,38,407,C00033,33,LAJ420,Normal,95.83,1,1,1.933333333333333,23,95.7,0,0
2025-04-01 02:45:00,520,KOMATSU 930 E4SE,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.39,182,0.27,0,3,0.34,4,0.42,5924,2714,498,21/17/14,11.61,107.88,2.74,5,0,23,2,2,979,8,27,110,7,0,0,24,1,2,8,23,3,5,5,39,4,B00034,34,LAJ393,Atencion,54.17,11,3,0.4,13,76.9,1,1
2025-04-01 02:50:00,560,KOMATSU 930 E5,KOMATSU,SISTEMA HIDRAULICO,MOBIL DTE 24,Muestreo,0.47,235,0.45,4,2,1.46,2,0.65,2876,773,837,20/19/13,12.55,96.61,2.53,4,2,13,3,3,936,5,39,77,5,1,0,21,3,9,7,2,3,7,7,26,70,D00035,35,LAJ077,Normal,83.33,4,1,0.0666666666666666,20,95.0,0,0
2025-04-01 02:55:00,911,CATERPILLAR 798AC-P,CATERPILLAR,MASA DERECHA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.45,190,0.06,4,0,1.48,2,0.29,4294,3094,682,20/17/13,17.48,82.25,1.84,5,3,22,2,5,190,6,3,22,5,4,0,28,3,0,6,9,4,7,6,70,588,A00036,36,LAJ701,Normal,95.83,1,5,1.2666666666666666,23,78.3,0,0
2025-04-01 03:00:00,535,KOMATSU 930 E4SE,KOMATSU,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Muestreo,0.79,249,0.03,2,2,0.19,4,0.37,4587,4160,333,18/19/13,17.28,113.97,2.16,7,3,12,1,7,513,8,32,70,6,0,3,12,7,1,4,10,2,4,9,25,519,B00037,37,LAJ803,Normal,91.67,2,3,2.7,22,86.4,0,0
2025-04-01 03:05:00,928,CATERPILLAR 797F,CATERPILLAR,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,Muestreo,1.0,190,0.44,0,0,0.96,4,0.28,3887,4765,977,18/18/15,19.57,82.33,0.71,5,3,7,0,3,144,2,0,99,8,2,3,12,5,2,2,11,0,8,1,9,153,E00038,38,LAJ455,Normal,91.67,2,3,0.4,22,86.4,0,0
2025-04-01 03:10:00,534,KOMATSU 930 E5,KOMATSU,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Muestreo,0.73,231,0.12,0,3,0.63,1,0.23,7669,641,206,19/17/16,19.44,80.08,0.19,1,1,20,8,6,927,2,43,76,9,1,8,17,6,3,5,3,9,9,4,67,275,D00039,39,LAJ567,Normal,91.67,2,3,1.1,22,86.4,0,0
2025-04-01 03:15:00,536,KOMATSU 930 E3,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Muestreo,0.06,198,0.29,4,1,0.99,2,0.34,3426,2165,209,20/16/13,12.87,89.57,1.44,2,3,7,6,1,428,7,43,51,0,8,3,25,2,1,1,15,9,5,1,73,586,A00040,40,LAJ765,Normal,91.67,2,6,0.8666666666666667,22,72.7,0,0
2025-04-01 03:20:00,937,CATERPILLAR 798AC-A,CATERPILLAR,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Muestreo,0.76,233,0.42,0,3,1.59,1,1.0,5803,3855,328,19/16/13,17.74,102.73,0.31,7,4,9,2,7,400,3,31,137,5,4,7,5,6,4,1,20,7,1,7,39,426,E00041,41,LAJ627,Atencion,70.83,7,3,1.7333333333333334,17,82.4,1,0
2025-04-01 03:25:00,505,KOMATSU 930 E4,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.21,185,0.37,2,1,0.94,1,0.12,7723,2571,860,18/17/16,16.48,97.12,1.34,3,1,25,7,8,244,0,22,211,2,2,2,3,2,9,3,46,5,8,2,59,383,C00042,42,LAJ035,Critico,0.0,24,3,1.4333333333333331,0,0.0,1,0
2025-04-01 03:30:00,508,KOMATSU 930 E3,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.22,198,0.41,2,3,0.88,4,0.36,6963,3219,741,19/16/15,18.76,96.39,0.86,8,2,5,0,7,462,2,17,38,6,9,7,24,5,2,2,8,1,3,9,55,450,A00043,43,LAJ338,Normal,95.83,1,6,0.9666666666666668,23,73.9,0,0
2025-04-01 03:35:00,540,KOMATSU 930 E4SE,KOMATSU,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,Muestreo,0.95,225,0.24,4,4,0.04,0,0.39,9804,3309,500,20/17/13,11.29,86.93,2.95,5,2,16,3,1,970,2,31,40,9,5,0,12,1,6,2,13,9,2,2,44,447,A00044,44,LAJ625,Normal,79.17,5,0,0.7333333333333333,19,100.0,0,0
2025-04-01 03:40:00,529,KOMATSU 930 E4SE,KOMATSU,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.81,221,0.08,3,2,0.08,1,0.77,3203,4884,758,18/19/14,11.04,100.81,2.89,6,0,20,9,1,219,2,36,188,6,4,1,2,9,3,1,21,7,1,0,96,210,C00045,45,LAJ603,Atencion,66.67,8,4,2.6,16,75.0,1,1
2025-04-01 03:45:00,500,KOMATSU 930 E4,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.07,230,0.16,2,1,1.58,0,0.61,2120,2412,762,18/19/13,18.94,106.52,0.39,3,1,12,3,4,743,1,8,182,5,8,3,1,3,3,7,24,8,7,2,72,389,D00046,46,LAJ489,Atencion,58.330000000000005,10,6,1.2666666666666666,14,57.1,1,1
2025-04-01 03:50:00,901,CATERPILLAR 797F,CATERPILLAR,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.86,188,0.39,4,3,0.3,4,0.81,4662,1668,879,21/16/16,14.65,98.45,1.0,4,0,18,3,3,375,2,7,23,0,3,5,17,3,0,3,11,3,6,4,20,407,C00047,47,LAJ913,Normal,79.17,5,4,2.7,19,78.9,0,0
2025-04-01 03:55:00,900,CATERPILLAR 797F,CATERPILLAR,MASA DERECHA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.64,183,0.26,1,0,0.74,4,0.39,6293,3016,729,21/19/14,13.96,106.05,0.43,7,2,20,5,1,884,1,6,65,4,9,1,25,0,0,3,0,9,7,5,38,195,A00048,48,LAJ120,Normal,91.67,2,5,0.5666666666666667,22,77.3,0,0
2025-04-01 04:00:00,511,KOMATSU 930 E5,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.11,223,0.37,4,3,1.47,2,0.77,7049,4354,683,19/19/16,16.04,104.51,2.46,9,4,24,0,7,2,9,22,214,2,1,4,14,0,8,1,48,9,0,5,8,194,A00049,49,LAJ512,Critico,0.0,19,2,1.2333333333333334,0,0.0,1,0
2025-04-01 04:05:00,521,KOMATSU 930 E4SE,KOMATSU,SISTEMA HIDRAULICO,MOBIL DTE 24,Muestreo,0.91,182,0.33,2,2,1.08,0,0.46,9045,4851,856,20/17/15,11.28,89.91,2.75,3,1,26,7,8,89,6,23,2,1,6,3,11,1,7,4,1,1,7,2,73,420,A00050,50,LAJ074,Normal,79.17,5,0,1.3333333333333333,19,100.0,0,0
2025-04-01 04:10:00,516,KOMATSU 930 E5,KOMATSU,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.3,182,0.1,4,3,1.6,3,0.98,3685,4996,445,19/18/16,15.72,89.14,1.43,4,4,1,8,7,858,7,25,55,0,0,7,4,7,0,9,12,3,7,5,73,510,A00051,51,LAJ892,Normal,75.0,6,0,2.1,18,100.0,0,0
2025-04-01 04:15:00,537,KOMATSU 930 E5,KOMATSU,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.31,196,0.42,0,4,0.69,1,0.32,1302,3787,825,19/19/16,15.03,99.75,2.71,3,0,23,3,5,594,1,18,64,8,3,6,10,7,9,9,4,5,9,9,34,350,A00052,52,LAJ960,Normal,75.0,6,0,1.2,18,100.0,0,0
2025-04-01 04:20:00,926,CATERPILLAR 797F,CATERPILLAR,SISTEMA HIDRAULICO,MOBIL DTE 24,Muestreo,0.39,202,0.42,1,0,0.33,4,0.54,6419,4319,321,20/18/15,18.31,90.54,1.24,1,1,13,1,0,270,9,35,37,0,1,4,16,5,6,5,6,3,1,6,33,590,D00053,53,LAJ511,Normal,83.33,4,0,0.2666666666666666,20,100.0,0,0
2025-04-01 04:25:00,931,CATERPILLAR 798AC-P,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.04,205,0.3,2,3,1.63,0,0.3,1448,740,420,21/18/13,14.49,105.48,0.71,1,4,25,4,7,152,2,20,95,9,3,2,9,0,0,7,13,7,6,2,32,92,D00054,54,LAJ067,Normal,75.0,6,5,0.0666666666666666,18,72.2,0,0
2025-04-01 04:30:00,525,KOMATSU 930 E4,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.06,224,0.44,3,0,1.62,4,0.64,7606,3130,809,20/17/13,17.23,82.2,2.97,0,2,15,6,7,937,4,16,81,1,8,3,3,5,2,4,8,4,1,0,65,407,C00055,55,LAJ910,Normal,87.5,3,5,1.0333333333333334,21,76.2,0,0
2025-04-01 04:35:00,519,KOMATSU 930 E4,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.85,210,0.39,3,1,1.09,2,0.96,5417,3896,983,21/17/14,10.05,80.92,1.95,4,0,21,2,8,672,3,27,5,6,4,1,5,3,0,4,6,4,3,7,69,508,A00056,56,LAJ440,Normal,95.83,1,2,2.7,23,91.3,0,0
2025-04-01 04:40:00,559,KOMATSU 930 E4,KOMATSU,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.89,231,0.31,3,2,0.93,3,0.43,8872,1666,490,20/17/14,18.52,98.92,0.18,2,1,6,2,6,639,8,28,26,2,1,4,11,7,6,9,0,9,7,7,74,234,B00057,57,LAJ926,Normal,95.83,1,3,2.533333333333333,23,87.0,0,0
2025-04-01 04:45:00,933,CATERPILLAR 798AC-P,CATERPILLAR,MOTOR TRACCION DER,MOBIL SHC GEAR 680,Cambio Aceite,0.34,209,0.15,1,0,0.35,0,0.0,6507,4150,712,21/18/14,11.16,82.43,1.3,2,0,7,2,0,949,2,2,21,6,7,5,12,0,5,2,1,5,7,8,12,313,C00058,58,LAJ899,Normal,87.5,3,0,2.2,21,100.0,0,0
2025-04-01 04:50:00,502,KOMATSU 930 E3,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Muestreo,0.7,244,0.25,0,2,0.78,3,0.55,9705,825,897,21/19/15,14.22,96.64,1.09,5,4,12,3,0,619,4,19,190,1,9,5,10,9,4,5,15,4,4,6,76,145,A00059,59,LAJ123,Atencion,58.330000000000005,10,3,1.0333333333333334,14,78.6,1,0
2025-04-01 04:55:00,913,CATERPILLAR 798AC-A,CATERPILLAR,MASA DERECHA,MOBIL MOBILTRANS HD 30,Muestreo,0.27,205,0.19,2,1,1.46,0,0.51,3296,2346,463,18/17/14,10.61,94.89,2.89,9,2,19,3,3,566,1,34,47,2,8,5,27,0,0,1,0,9,4,1,31,55,D00060,60,LAJ761,Normal,95.83,1,2,1.3333333333333333,23,91.3,0,0
2025-04-01 05:00:00,907,CATERPILLAR 798AC-P,CATERPILLAR,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Muestreo,0.63,234,0.36,0,2,0.85,1,0.67,8228,4813,639,18/17/16,17.51,107.33,1.79,1,0,13,5,4,525,5,8,20,9,6,4,2,4,8,0,5,6,0,7,55,104,A00061,61,LAJ415,Normal,75.0,6,3,1.1,18,83.3,0,0
2025-04-01 05:05:00,550,KOMATSU 930 E3,KOMATSU,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.49,241,0.35,3,3,1.55,4,0.38,4431,4185,544,18/18/13,11.8,81.75,1.18,6,1,9,8,6,269,9,35,200,1,6,9,25,5,3,9,16,8,7,9,63,314,B00062,62,LAJ111,Atencion,70.83,7,1,0.1,17,94.1,1,1
