Fecha,Fallas Totales,Camiones Disponibles,MTTR (horas),Tasa Fallas,TBF Total (horas),MTBF (horas),Confiabilidad (%)
2025-06-16,15,92,17.93,0.1402,1779,118.6,73.15
2025-06-17,5,102,19.4,0.0467,2026,405.2,78.64
2025-06-18,11,96,17.91,0.1028,1857,168.82,76.19
2025-06-19,15,92,18.33,0.1402,1807,120.47,71.94
2025-06-20,15,92,17.4,0.1402,1815,121.0,71.5
2025-06-21,12,95,19.42,0.1121,1879,156.58,75.69
2025-06-22,15,92,20.27,0.1402,1843,122.87,72.41
2025-06-23,11,96,17.55,0.1028,1888,171.64,75.1
2025-06-24,11,96,19.45,0.1028,1898,172.55,77.0
2025-06-25,14,93,18.57,0.1308,1849,132.07,72.61
2025-06-26,14,93,19.43,0.1308,1855,132.5,73.23
2025-06-27,13,94,16.92,0.1215,1846,142.0,72.89
2025-06-28,19,88,18.11,0.1776,1720,90.53,69.73
2025-06-29,16,91,18.0,0.1495,1809,113.06,69.84
2025-06-30,10,97,18.0,0.0935,1934,193.4,76.46
2025-07-01,11,96,16.36,0.1028,1908,173.45,75.23
2025-07-02,6,101,16.67,0.0561,1992,332.0,79.06
2025-07-02,12,95,16.08,0.1121,1886,157.17,76.68
2025-07-03,7,100,18.86,0.0654,1980,282.86,78.91
